Organisation,Sector,Form/Apply URL,Programme Name,Type,Status,Why Aganthos,Notes
M42,Healthcare (UAE),https://forms.monday.com/forms/8431537cb10cb8862d821694fdb3069a?r=euc1,Digital Transformation Collaboration,Venture Client / Pilot,Form on file,Hospital QA agent case study is a direct match. +30% on clinical benchmarks. FHIR integration. Full data sovereignty.,Answers drafted. Tobias to review.
Siemens,Manufacturing / Industrial,https://www.siemens.com/en-us/company/innovation/startups/collaborate/,Collaborate — Startup Programme,Venture Client,Form on file,IT and R&D workflow agents. Trustworthy AI on Siemens-specific data. RL adapts as production environment changes.,Answers drafted. Siemens adapted answer in uploading folder.
Cyber Innovation Hub (Bundeswehr),Defence / Dual-Use,https://www.cyberinnovationhub.de/innovation/dein-cihbw-pitch#c3711,CIHBw Pitch,Defence Prototype Contract,Form on file,Software-Defined Defence focus (SDD). RL agents that adapt to changing operational requirements. On-premise / air-gapped.,Answers drafted in German. EWR residency confirmed (Swiss GmbH).
BMW Startup Garage,Automotive / Manufacturing,https://www.bmwstartupgarage.com/en/partner-with-us/application-form.html,BMW Startup Garage,Venture Client (Paid Pilot),VERIFIED ACTIVE — rolling,Paid pilot model. AI for production & quality control workflows. RL adapts to changing manufacturing specs.,5-section form. Asks for company info + which BMW division profits + funding stage. No equity.
SAP.iO Foundry Munich,Enterprise Software,https://sap.io/foundries/apply/,SAP.iO Foundry — Berlin / Munich,Accelerator (no equity),VERIFIED — cohort-based,Enterprise AI workflow automation. SAP customers run complex agentic workflows ideal for RL post-training.,No equity taken. Multiple cohorts per year. Munich and Berlin locations.
Bayer G4A — Pitch Club,Healthcare / Pharma,https://g4a.smapply.io/prog/pitch_club_2024/,G4A Pitch Club,Open Innovation / Investment,Annual — check for 2025/2026 edition,Clinical AI. RL-trained medical models align with Bayer's digital health ambitions.,Apply via smapply platform. 100 submissions max per cohort. Deck + video required.
Bayer G4A — Partnerships,Healthcare / Pharma,https://www.g4a.health/partner-with-us,G4A Advance Track,Partnership / Investment,Rolling (contact form),Early-stage investment + commercial partnership pathway. Strong fit for our medical RL model.,Landing page with contact CTA. Not a direct form — email outreach entry point.
InsurTech Hub Munich,Insurance,https://www.insurtech-munich.com/en/themen/venture-client-programme/,Venture Client Programme,Venture Client (no equity),Annual — 2025 closed Jul 11; 2026 edition expected,AI for insurance claims / underwriting / contact centre. RL agents that learn from claims data.,Contact: Estefania Rodriguez Migliarini or Abhi Jain (Startup Scouting Lead). Free for startups.
Allianz HackZone (via Tenity),Insurance / Agentic AI,https://www.tenity.com/program/hackzone-by-allianz/,HackZone by Allianz — Batch 6,Corporate Accelerator,Batch 6: Feb–Sep 2026. Check Tenity for open applications.,Explicitly lists Agentic AI as a focus area for Batch 6. Contact centre solutions. Digital health.,6-month programme via Tenity. Allianz Turkey based but global relevance. Free for startups.
NATO DIANA,Defence / Deep Tech,https://www.diana.nato.int/challenges.html,DIANA Accelerator Programme,Defence Accelerator,2026 cohort selected (150 firms). Next call: 2027.,AI / autonomy challenge areas. Dual-use deep tech. Up to €400K funding.,€100K Phase 1 + up to €300K Phase 2. 32 NATO nations eligible. Swiss GmbH qualifies.
EIT Health Catapult,Healthcare,https://apply.eithealth.eu/,EIT Health Catapult — 10th Edition,Startup Competition / Accelerator,VERIFIED ACTIVE — applications open now,Clinical AI validation. Pan-European healthcare network. Exposure to hospital systems across EU.,Cash prizes up to €30K + in-kind. Finalists pitch at EIT Health Flagship Event (Nov).
Roche Startup Creasphere,Healthcare / Pharma,https://www.roche.com/stories/startup-creasphere,Startup Creasphere,Open Innovation / Pilot,Rolling (innovation challenges + invite),Clinical decision support. AI diagnostics. RL for clinical data workflows matches focus areas.,Time-boxed co-creation (3–4 months) with Roche. Munich / Silicon Valley / Singapore offices.
Munich Re Ventures,Insurance / Reinsurance,https://www.munichre.com/mrv/en.html,Munich Re Ventures,Corporate Venture / Strategic Partnership,Rolling,Risk AI. RL agents for claims & underwriting. Industrial IoT data processing.,Investment + cooperation model. No fixed cohort. Direct outreach to innovation team.
BASF Chemovator Elevate,Chemical / Industrial,https://www.chemovator.com/programs/elevate/,Chemovator Elevate,Incubator (€200K investment),Rolling — apply when team + idea ready,Industrial process AI. Supply chain agents. R&D workflow optimisation.,€200K convertible loan. Requires clear connection to chemical industry. Mannheim-based.
Innosuisse Startup Innovation Projects,Swiss Government / R&D,https://www.innosuisse.admin.ch/en/start-up-innovation-projects,Startup Innovation Projects (SIP),Swiss Government Grant,4 rounds/year (Spring / Summer / Autumn / Winter),Co-funds R&D collaboration between Swiss startup and research partner. Covers 70% of costs.,Requires Swiss registry of commerce (we have Swiss GmbH ✓). <5 years old ✓. <50 FTE ✓.
UnternehmerTUM / Corporate Collaboration,Deep Tech / Industrial,https://www.unternehmertum.de/en/services/search/start-ups,Startup Services & Corporate Matchmaking,Corporate Matchmaking,Rolling,TUM network. Connects deep tech startups with corporates. Robert's TUM background is a direct in.,Contact-based. Best approached via warm intro through TUM network.
